//HSK 2012-2017/Level 1
踢足球[踢足球]	ti1zu2qiu2
题[題]	ti2
跳舞[跳舞]	tiao4wu3
外[外]	wai4
完[完]	wan2
玩[玩]	wan2
晚上[晚上]	wan3shang5
往[往]	wang3
为什么[為什麼]	wei4shen2me5
问[問]	wen4
问题[問題]	wen4ti2
西瓜[西瓜]	xi1gua1
希望[希望]	xi1wang4
洗[洗]	xi3
小时[小時]	xiao3shi2
笑[笑]	xiao4
新[新]	xin1
姓[姓]	xing4
休息[休息]	xiu1xi5
雪[雪]	xue3
颜色[顏色]	yan2se4
眼睛[眼睛]	yan3jing5
羊肉[羊肉]	yang2rou4
药[藥]	yao4
要[要]	yao4
也[也]	ye3
一起[一起]	yi1qi3
一下[一下]	yi1xia4
已经[已經]	yi3jing1
意思[意思]	yi4si5
因为…所以…[因為…所以…]	yin1wei4...suo3yi3...	because of... therefore...
阴[陰]	yin1
游泳[游泳]	you2yong3
右边[右邊]	you4bian5
鱼[魚]	yu2
远[遠]	yuan3
运动[運動]	yun4dong4
再[再]	zai4
早上[早上]	zao3shang5
丈夫[丈夫]	zhang4fu5
找[找]	zhao3
着[著]	zhe5
真[真]	zhen1
正在[正在]	zheng4zai4
知道[知道]	zhi1dao4
准备[準備]	zhun3bei4
走[走]	zou3
最[最]	zui4
左边[左邊]	zuo3bian5
// HSK 2012-2017/Level 3
阿姨[阿姨]	a1yi2
啊[啊]	a5
矮[矮]	ai3
爱好[愛好]	ai4hao4
安静[安靜]	an1jing4
把[把]	ba3
班[班]	ban1
搬[搬]	ban1
办法[辦法]	ban4fa3
办公室[辦公室]	ban4gong1shi4
半[半]	ban4
帮忙[幫忙]	bang1mang2
包[包]	bao1
饱[飽]	bao3
北方[北方]	bei3fang1
被[被]	bei4
鼻子[鼻子]	bi2zi5
比较[比較]	bi3jiao4
比赛[比賽]	bi3sai4
笔记本[筆記本]	bi3ji4ben3
必须[必須]	bi4xu1
变化[變化]	bian4hua4
别人[別人]	bie2ren5
冰箱[冰箱]	bing1xiang1
不但…而且…	bu4dan4...er2qie2...	not only... but also...
菜单[菜單]	cai4dan1
